rank,title,score,info,type,episodes,episode_bins
1,Sousou no Frieren,9.3,"TV (28 eps)         Sep 2023 - Mar 2024         1,155,200 members",TV,28.0,Long (>26)
2,Fullmetal Alchemist: Brotherhood,9.1,"TV (64 eps)         Apr 2009 - Jul 2010         3,539,299 members",TV,64.0,Long (>26)
3,Steins;Gate,9.07,"TV (24 eps)         Apr 2011 - Sep 2011         2,710,632 members",TV,24.0,Medium (13–26)
4,Shingeki no Kyojin Season 3 Part 2,9.05,"TV (10 eps)         Apr 2019 - Jul 2019         2,461,239 members",TV,10.0,Short (<=12)
5,Gintama°,9.05,"TV (51 eps)         Apr 2015 - Mar 2016         670,442 members",TV,51.0,Long (>26)
6,Gintama: The Final,9.04,"Movie (1 eps)         Jan 2021 - Jan 2021         171,226 members",Movie,1.0,Short (<=12)
7,One Piece Fan Letter,9.04,"TV Special (1 eps)         Oct 2024 - Oct 2024         116,093 members",TV Special,1.0,Short (<=12)
8,Hunter x Hunter (2011),9.03,"TV (148 eps)         Oct 2011 - Sep 2014         3,041,371 members",TV,148.0,Long (>26)
9,Gintama',9.02,"TV (51 eps)         Apr 2011 - Mar 2012         592,443 members",TV,51.0,Long (>26)
10,Gintama': Enchousen,9.02,"TV (13 eps)         Oct 2012 - Mar 2013         346,952 members",TV,13.0,Medium (13–26)
11,Ginga Eiyuu Densetsu,9.01,"OVA (110 eps)         Jan 1988 - Mar 1997         346,390 members",OVA,110.0,Long (>26)
12,Bleach: Sennen Kessen-hen,8.99,"TV (13 eps)         Oct 2022 - Dec 2022         644,031 members",TV,13.0,Medium (13–26)
13,Gintama.,8.98,"TV (12 eps)         Jan 2017 - Mar 2017         336,708 members",TV,12.0,Short (<=12)
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.98,"TV (13 eps)         Apr 2022 - Jun 2022         1,039,742 members",TV,13.0,Medium (13–26)
15,Fruits Basket: The Final,8.95,"TV (13 eps)         Apr 2021 - Jun 2021         532,100 members",TV,13.0,Medium (13–26)
16,Clannad: After Story,8.93,"TV (24 eps)         Oct 2008 - Mar 2009         1,248,651 members",TV,24.0,Medium (13–26)
17,Gintama,8.93,"TV (201 eps)         Apr 2006 - Mar 2010         1,120,399 members",TV,201.0,Long (>26)
18,Koe no Katachi,8.93,"Movie (1 eps)         Sep 2016 - Sep 2016         2,494,153 members",Movie,1.0,Short (<=12)
19,Code Geass: Hangyaku no Lelouch R2,8.91,"TV (25 eps)         Apr 2008 - Sep 2008         1,881,827 members",TV,25.0,Medium (13–26)
20,3-gatsu no Lion 2nd Season,8.9,"TV (22 eps)         Oct 2017 - Mar 2018         425,810 members",TV,22.0,Medium (13–26)
21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.9,"Movie (1 eps)         Jul 2013 - Jul 2013         255,291 members",Movie,1.0,Short (<=12)
22,Kusuriya no Hitorigoto 2nd Season,8.89,"TV (24 eps)         Jan 2025 - Jul 2025         328,879 members",TV,24.0,Medium (13–26)
23,Monster,8.89,"TV (74 eps)         Apr 2004 - Sep 2005         1,243,328 members",TV,74.0,Long (>26)
24,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,"TV (14 eps)         Jul 2018 - Oct 2018         216,854 members",TV,14.0,Medium (13–26)
25,Kusuriya no Hitorigoto,8.87,"TV (24 eps)         Oct 2023 - Mar 2024         666,430 members",TV,24.0,Medium (13–26)
26,Owarimonogatari 2nd Season,8.86,"TV Special (7 eps)         Aug 2017 - Aug 2017         423,743 members",TV Special,7.0,Short (<=12)
27,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.86,"TV Special (2 eps)         Mar 2023 - Nov 2023         779,586 members",TV Special,2.0,Short (<=12)
28,Violet Evergarden Movie,8.84,"Movie (1 eps)         Sep 2020 - Sep 2020         681,977 members",Movie,1.0,Short (<=12)
29,Kimi no Na wa.,8.83,"Movie (1 eps)         Aug 2016 - Aug 2016         2,911,391 members",Movie,1.0,Short (<=12)
30,Kingdom 3rd Season,8.83,"TV (26 eps)         Apr 2020 - Oct 2021         121,797 members",TV,26.0,Medium (13–26)
31,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.82,"Movie (1 eps)         Nov 2024 - Nov 2024         51,740 members",Movie,1.0,Short (<=12)
32,Takopii no Genzai,8.81,"ONA (6 eps)         Jun 2025 -          37,817 members",ONA,6.0,Short (<=12)
33,Vinland Saga Season 2,8.81,"TV (24 eps)         Jan 2023 - Jun 2023         758,370 members",TV,24.0,Medium (13–26)
34,Gintama. Shirogane no Tamashii-hen,8.81,"TV (12 eps)         Jan 2018 - Mar 2018         229,525 members",TV,12.0,Short (<=12)
35,Hajime no Ippo,8.78,"TV (75 eps)         Oct 2000 - Mar 2002         655,349 members",TV,75.0,Long (>26)
36,Shingeki no Kyojin: The Final Season,8.78,"TV (16 eps)         Dec 2020 - Mar 2021         2,170,019 members",TV,16.0,Medium (13–26)
37,Kizumonogatari III: Reiketsu-hen,8.78,"Movie (1 eps)         Jan 2017 - Jan 2017         494,110 members",Movie,1.0,Short (<=12)
38,Mob Psycho 100 II,8.78,"TV (13 eps)         Jan 2019 - Apr 2019         1,650,111 members",TV,13.0,Medium (13–26)
39,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,"TV (10 eps)         Oct 2016 - Dec 2016         1,280,508 members",TV,10.0,Short (<=12)
40,Sen to Chihiro no Kamikakushi,8.77,"Movie (1 eps)         Jul 2001 - Jul 2001         1,958,795 members",Movie,1.0,Short (<=12)
41,Vinland Saga,8.77,"TV (24 eps)         Jul 2019 - Dec 2019         1,693,908 members",TV,24.0,Medium (13–26)
